[2025-11-22 00:41:23] Experimento #29: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.7997052556403687}
[2025-11-22 00:44:01] Experimento #30: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8052739192579452}
[2025-11-22 00:46:07] Experimento #31: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.8011846385395931}
[2025-11-22 00:47:31] Experimento #32: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8121438311141533}
[2025-11-22 00:48:48] Experimento #33: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.7994632096014584}
[2025-11-22 00:50:37] Experimento #34: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.7940447044950909}
[2025-11-22 00:52:27] Experimento #35: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.7986837011227255}
[2025-11-22 00:54:04] Experimento #36: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.7855964815832874}
[2025-11-22 00:56:01] Experimento #37: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.7991343893942957}
[2025-11-22 00:59:06] Experimento #38: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.7990910521011425}
[2025-11-22 01:00:46] Experimento #39: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.7883491668832199}
[2025-11-22 01:02:29] Experimento #40: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8138895126880754}
[2025-11-22 01:04:27] Experimento #41: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8060758013204914}
[2025-11-22 01:07:29] Experimento #42: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.81213047139675}
[2025-11-22 01:11:31] Experimento #43: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8086993027622867}
[2025-11-22 01:16:07] Experimento #44: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8140170940170941}
[2025-11-22 01:19:45] Experimento #45: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.815323942865624}
[2025-11-22 01:23:54] Experimento #46: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8112534397230229}
[2025-11-22 01:27:23] Experimento #47: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.8070472153604311}
[2025-11-22 01:30:27] Experimento #48: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8205659075224292}
[2025-11-22 01:33:31] Experimento #49: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8117910642132546}
[2025-11-22 01:34:40] Experimento #50: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.6962837751022557}
[2025-11-22 01:38:55] Experimento #51: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8034368026614385}
[2025-11-22 01:40:05] Experimento #52: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.7640574976526396}
[2025-11-22 01:42:46] Experimento #53: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8143619090245475}
[2025-11-22 01:43:57] Experimento #54: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.7057915297970012}
[2025-11-22 01:46:45] Experimento #55: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.7954969142370718}
[2025-11-22 01:47:59] Experimento #56: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.7552924487123527}
[2025-11-22 01:49:06] Experimento #57: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.5495197530014388}
[2025-11-22 01:50:13] Experimento #58: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.4179835240323154}
[2025-11-22 01:51:21] Experimento #59: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.5, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.746309790912824}
