Nombre,Neuronas_ocultas,Init_func,Pesado_terminos,Terminos,Prepocesamiento,Learnin_rate,Batch_size,Precision_score,Recall_score,F1_score,Accuracy
hateval_es,64,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.5,32,0.7014958911145353,0.703415645861689,0.7018965822846002,0.704
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,128,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.1,32,0.6900614671013152,0.6898859290945623,0.689970861313632,0.694
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.1,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.5,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,16,0.6515992055338675,0.6434636074923845,0.6439454160042395,0.656
hateval_es,64,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,32,0.7272427705711209,0.7290653963315834,0.7277951406391774,0.73
hateval_es,1024,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.1,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,64,0.7754657536448538,0.7776751571715601,0.7761871156366569,0.778
hateval_es,128,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.1,32,0.7457565550492041,0.7411692267807376,0.7426638781778969,0.748
hateval_es,128,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.01,32,0.6595982142857143,0.6529263076025666,0.6537567393777514,0.664
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.1,64,0.7246947871584523,0.7254520707758119,0.7250258799171843,0.728
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.1,64,0.7042906215568085,0.7042906215568085,0.7042906215568085,0.708
hateval_es,1024,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,128,normal_initialization,vectorizar_countvectorizer,"(2, 2)",None,0.01,32,0.6269113149847094,0.626417784691166,0.6266233766233766,0.632
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,64,0.773143859991225,0.7723604899863893,0.7619914316915408,0.762
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.1,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.01,16,0.6468229903645306,0.6412275584937455,0.6418927818756586,0.652
hateval_es,256,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.01,64,0.6900614671013152,0.6898859290945623,0.689970861313632,0.694
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(2, 2)",None,0.1,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",None,0.1,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.1,64,0.6317438055165965,0.6141519217058785,0.6104244457595871,0.634
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.1,16,0.7550959570731078,0.7565137079525568,0.7556532942378604,0.758
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.1,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,64,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.1,32,0.7308015039292572,0.7317551364313954,0.7312034405959604,0.734
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.5,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.01,64,0.6344133807369101,0.6078164495430682,0.599714579091178,0.632
hateval_es,128,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,16,0.7327625645382654,0.730831550975436,0.7316025766152645,0.736
hateval_es,128,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",None,0.1,16,0.6445821100993515,0.6412437617473589,0.6419437340153453,0.65
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,16,0.222,0.5,0.3074792243767313,0.444
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.01,32,0.6363183743734282,0.6308736794348305,0.6313458964061374,0.642
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.5,64,0.7449139280125195,0.7434376822866031,0.7440647394335299,0.748
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.01,16,0.688536547911548,0.6591483569900836,0.6567996567996568,0.68
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.1,32,0.7287319940572314,0.7295028841791431,0.7290696169772257,0.732
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.1,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,1024,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.1,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",None,0.1,32,0.7412735350116353,0.7217577289519737,0.7240618101545253,0.736
