[2025-11-22 09:08:20] Experimento #1: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8177429215946703}
[2025-11-22 09:10:41] Experimento #1: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8167844744564141}
[2025-11-22 09:13:29] Experimento #2: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8144314852689183}
[2025-11-22 09:14:37] Experimento #3: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8098732004017952}
[2025-11-22 09:16:31] Experimento #4: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8179948910846621}
[2025-11-22 09:18:06] Experimento #5: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8064361439303318}
[2025-11-22 09:20:10] Experimento #6: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.807928829034487}
[2025-11-22 09:23:02] Experimento #7: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8217741136980796}
[2025-11-22 09:24:50] Experimento #8: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8075321339582671}
[2025-11-22 09:27:17] Experimento #9: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8081890280588525}
[2025-11-22 09:28:12] Experimento #10: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8046916918850471}
[2025-11-22 09:30:01] Experimento #11: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8021127703507425}
[2025-11-22 09:31:06] Experimento #12: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8076652227079294}
[2025-11-22 09:32:53] Experimento #13: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8085470085470086}
[2025-11-22 09:34:09] Experimento #14: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8099145299145298}
[2025-11-22 09:36:20] Experimento #15: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8145672772489638}
[2025-11-22 09:38:37] Experimento #16: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8165682670528387}
[2025-11-22 09:40:31] Experimento #17: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8112820512820513}
[2025-11-22 09:43:49] Experimento #18: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8183434959349594}
[2025-11-22 09:46:30] Experimento #19: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8111725519223234}
[2025-11-22 09:48:44] Experimento #20: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8157596371882087}
[2025-11-22 09:50:21] Experimento #21: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8156629423208722}
